deviceid,devicephonenum,device_info,duration,caseid,branch_code,stage_code,stage,park,park_label,park_other,enumerator,enumerator_label,enumerator_1,enumerator_2,enumerator_3,enumerator_4,enumerator_5,enumerator_6,enumerator_7,enumerator_8,enumerator_9,enumerator_10,the_stage,a2,a2_label,a2_other,a3,a4,a5,a5_label,a5_other,a6,a7,a7_label,a8,a8_label,a8_1,a8_2,a8_3,a8_4,a8_5,a8_6,a8_7,a8_8,a8_9,a8_10,a8_99,a8_100,a8_other,p1_photo,b1,b2,branch_total_count,p2_photo,b3_count,setofb3,setofp3_photo_loop,setofb4,setofp4_photo_loop,setofc1,route_count,setofp5_photo_loop,r_count,setofr,c7,c7_label,c8,c8_label,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c8_99,c8_100,c9_branch_loop_count,setofc9_branch_loop,setofp7_photo_loop,d11,d12,d13,d14,d2,d31,d32,d33,d34,d4,d5,d5_label,d5_1,d5_2,d5_3,d5_4,d5_5,d5_6,d5_7,d5_99,d5_100,d5_other,d6,d7,d7_label,d7_other,d8,d8_label,d8_1,d8_2,d8_3,d8_4,d8_5,d8_6,d8_7,d8_8,d8_9,d8_99,d8_100,d8_other,d9,d9_label,d10,v130,d11_label,d11_1,d11_2,d11_3,d11_4,d11_5,d11_6,d11_99,d11_100,d11c,d11f,d11_other,v143,d12_label,d12_1,d12_2,d12_3,d12_4,d12_5,d12_6,d12_99,d12_100,d12c,d12f,d12_other,p8_photo,p9_photo,formdef_version,key,submissiondate,starttime,endtime,date,respondent,stage_id,stage_name,branch_id,branch,taxi_park,_merge
2aa80707e1ac7359,,TCL|T610K|13|SurveyCTO Collect 2.81.2 (3771098),2299,,1.0,28.0,Kibuli,Old Taxi Park,Old Taxi Park,,1 8,Claire & Rhoda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kibuli Stage,Chairperson,Chairperson,,1980.0,1975.0,Founded by drivers who did not belong to an older stage,Founded by drivers who did not belong to an older stage,,,,,,,,,,,,,,,,,,,,media/1724340029146.jpg,1.0,1.0,2,media/1724338242481.jpg,2,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/B-B3,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/B-p3_photo_loop,,,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/C-C1,2,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/C-p5_photo_loop,2,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/C-R,Yes,Yes,2 4 6 99,Poor road quality & Opposition from other stages & Drivers don’t want to go & Other,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/C-C9_branch_loop,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3/C-p7_photo_loop,80,-99,120.0,130.0,50.0,50.0,-99.0,70.0,80.0,45.0,1 2 4 7,Must have a driver permit & Must have been a conductor at the stage & Must be referred by an existing stage member & Must have previous work experience,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,25.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6 7 9,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Mobiliser & Elder Advisor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,Yes,Yes,3.0,1 2 99,Be a driver & Have a permit/driving license & Other,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Must be a Stage member,1 2 4 6,Be a driver & Have a permit/driving license & No criminal record & Need to have been at the stage for ____ years,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,15,,media/1724339720498.jpg,media/1724339737399.jpg,2407230723.0,uuid:c9f4c2e5-cdc4-4ce6-9d9c-79cb6e8c83d3,2024-08-22 11:43:54,2024-08-22 10:48:51,2024-08-22 11:31:47,2024-08-21,Respondent_273221,28,Kibuli,45,Kibuli,Old Taxi Park,both
3e91b3bc962f0796,,TECNO|TECNO KI5k|12|SurveyCTO Collect 2.81.2 (3771098),1879,,1.0,57.0,Ggaba,Nateete,Nateete,,1 3 7,Claire & Fatumah & Olivia,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ggaba Stage,Secretary,Secretary,,2000.0,1999.0,"Originated from an older stage, split off","Originated from an older stage, split off",,Ggaba stage,Yes,Yes,8,Old Taxi Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,media/1725877499809.jpg,1.0,0.0,1,media/1725877530897.jpg,1,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9/B-B3,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9/B-p3_photo_loop,,,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9/C-C1,1,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9/C-p5_photo_loop,1,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9/C-R,Yes,Yes,4,Opposition from other stages,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,,30,20,10.0,6.0,10.0,10.0,10.0,4.0,2.0,10.0,1 2 7,Must have a driver permit & Must have been a conductor at the stage & Must have previous work experience,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Yes,Yes,10.0,1 99,Be a driver & Other,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Must be a registered stage member,1 2 4 6,Be a driver & Have a permit/driving license & No criminal record & Need to have been at the stage for ____ years,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,5,,media/1725878546348.jpg,media/1725878580909.jpg,2407230723.0,uuid:bbd36097-41d7-46d1-963f-eaf8002ef8d9,2024-09-09 07:33:35,2024-09-09 06:19:39,2024-09-09 06:59:42,2024-09-09,Respondent_329743,57,Ggaba,78,Ggaba,Nateete,both
0F717E25-0542-496A-9B46-40D56DB59F40,,Apple|iPhone|17.6.1|SurveyCTO Collect 2.80 (274730),1612,,4.0,5.0,Busabaala,Bwaise,Bwaise,,8 10,Rhoda & Vivian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Busabaala Stage,Other,Other,Stage master,2014.0,2004.0,"Originated from an older stage, split off","Originated from an older stage, split off",,Bunamwaya,Yes,Yes,1 8,Bwaise & Old Taxi Park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,media/1726307351583.jpg,5.0,1.0,6,media/1726305596238.jpg,6,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/B-B3,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/B-p3_photo_loop,,,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/C-C1,1,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/C-p5_photo_loop,1,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/C-R,No,No,,,,,,,,,,,6,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/C-C9_branch_loop,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588/C-p7_photo_loop,300,200,100.0,,11.0,200.0,150.0,100.0,,11.0,1 2,Must have a driver permit & Must have been a conductor at the stage,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6 7 8,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Mobiliser & Stage Master,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/1726306321768.jpg,media/1726306332651.jpg,2407230723.0,uuid:3336f4d0-1543-4093-85bb-32f7f0a75588,2024-09-14 07:07:51,2024-09-14 05:18:15,2024-09-14 07:07:16,2024-09-13,Respondent_770173,5,Busabaala,89,Busabaala,Bwaise,both
2aa80707e1ac7359,,TCL|T610K|13|SurveyCTO Collect 2.81.2 (3771098),1612,,1.0,14.0,Ggaba,Kisenyi/Gwanda,Kisenyi/Gwanda,,3 5 8,Fatumah & Joviah & Rhoda,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Ggaba Stage,Secretary,Secretary,,2014.0,2009.0,"Originated from an older stage, formed as a separate, independent stage by their","Originated from an older stage, formed as a separate, independent stage by their leaders",,Ggaba,Yes,Yes,8,Old Taxi Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,media/1723012742811.jpg,1.0,0.0,1,media/1723012768797.jpg,1,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec/B-B3,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec/B-p3_photo_loop,,,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec/C-C1,1,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec/C-p5_photo_loop,1,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec/C-R,No,No,,,,,,,,,,,1,,,19,0,0.0,,19.0,14.0,0.0,0.0,,14.0,1 2 4 7 99,Must have a driver permit & Must have been a conductor at the stage & Must be referred by an existing stage member & Must have previous work experience & Other,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Must pay membership fees,5.0,"First come, first serve on the day","First come, first serve on the day",,1 3 9,Chairperson & Secretary & Elder Advisor,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/1723013153879.jpg,,2407230723.0,uuid:ab0c3936-fbf5-42d6-9da6-f8d8a88220ec,2024-08-07 02:52:48,2024-08-06 04:43:10,2024-08-07 02:48:23,2024-08-03,Respondent_25228,14,Ggaba,15,Ggaba,Kisenyi/Gwanda,both
665B1D11-2673-4244-885F-7BA73AF1E3C2,,Apple|iPhone|17.3.1|SurveyCTO Collect 2.80 (274730),5288,,1.0,46.0,Makindye - Luwafu Stage,Old Taxi Park,Old Taxi Park,,3 7 8,Fatumah & Olivia & Rhoda,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Makindye - Luwafu Stage Stage,Elder,Elder,,1994.0,1960.0,Founded by drivers who did not belong to an older stage,Founded by drivers who did not belong to an older stage,,,,,,,,,,,,,,,,,,,,media/1725283010133.jpg,1.0,3.0,4,media/1725283027389.jpg,4,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/B-B3,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/B-p3_photo_loop,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/B-B4,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/B-p4_photo_loop,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/C-C1,3,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/C-p5_photo_loop,3,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/C-R,Yes,Yes,5,Hard to get approval from UTOF or KCCA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/C-C9_branch_loop,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0/C-p7_photo_loop,70,90,150.0,70.0,50.0,50.0,80.0,100.0,40.0,50.0,1 2 4 7,Must have a driver permit & Must have been a conductor at the stage & Must be referred by an existing stage member & Must have previous work experience,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,10.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6 9,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Elder Advisor,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,Yes,Yes,5.0,1 2 99,Be a driver & Have a permit/driving license & Other,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Must be a stage member,1 2 4 6,Be a driver & Have a permit/driving license & No criminal record & Need to have been at the stage for ____ years,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,5,,media/1725286686208.jpg,media/1725286694712.jpg,2407230723.0,uuid:ce3c1ad0-edaa-4e44-88d8-ee94f7fc18f0,2024-09-02 12:04:24,2024-09-02 09:14:19,2024-09-02 12:02:42,2024-08-28,Respondent_329644,46,Makindye-Luwafu,66,Makindye-Luwafu,Old Taxi Park,both
353309090902287,,samsung|SM-G960U|9|SurveyCTO Collect 2.81.2 (3771098),3873,,2.0,8.0,Entebbe stage,Kisenyi/Gwanda,Kisenyi/Gwanda,,1 9 10,Claire & Sumaiya & Vivian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Entebbe stage Stage,Other,Other,Vice chairperson/elder,1999.0,1974.0,Founded by drivers who did not belong to an older stage,Founded by drivers who did not belong to an older stage,,,,,,,,,,,,,,,,,,,,media/1722427808925.jpg,9.0,1.0,10,media/1722427862880.jpg,10,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/B-B3,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/B-p3_photo_loop,,,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/C-C1,2,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/C-p5_photo_loop,2,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/C-R,Yes,Yes,99,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/C-C9_branch_loop,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6/C-p7_photo_loop,1400,900,700.0,700.0,160.0,1200.0,800.0,400.0,400.0,120.0,3 4 99,Must be a friend or relative of existing stage member & Must be referred by an existing stage member & Other,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"LC 1 letter, no criminal record, good conduct",15.0,Predetermined schedule before the day,Predetermined schedule before the day,,1 2 3 4 5 6 7 8 9 99,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Mobiliser & Stage Master & Elder Advisor & Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Deputy secretary, Deputy treasure, Deputy welfare, cordinator",Yes,Yes,5.0,99,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Stage member with the branch ID,4 6 99,No criminal record & Need to have been at the stage for ____ years & Other,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,10,"S4 certificate,can write and read English, Good conduct",media/1722431004325.jpg,media/1722431050981.jpg,2407230723.0,uuid:2c8dbd97-2f16-4903-8289-6dbdcd56dba6,2024-08-01 02:55:56,2024-07-31 08:06:10,2024-08-01 02:51:32,2024-07-31,Respondent_936700,8,Entebbe,12,Entebbe,Kisenyi/Gwanda,both
0F717E25-0542-496A-9B46-40D56DB59F40,,Apple|iPhone|17.5.1|SurveyCTO Collect 2.80 (274730),1025,,1.0,22.0,Nateete wakaliga stage B,Kisenyi/Gwanda,Kisenyi/Gwanda,,3 4 10,Fatumah & Gerald & Vivian,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Nateete wakaliga stage B Stage,Chairperson,Chairperson,,2004.0,1984.0,"Originated from an older stage, split off","Originated from an older stage, split off",,Kibuuye-Ndeeba,Yes,Yes,8,Old Taxi Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,media/1723285768732.jpg,2.0,1.0,3,media/1723285786084.jpg,3,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/B-B3,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/B-p3_photo_loop,,,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/C-C1,1,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/C-p5_photo_loop,1,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/C-R,Yes,Yes,99,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/C-C9_branch_loop,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b/C-p7_photo_loop,55,60,0.0,0.0,65.0,40.0,40.0,0.0,0.0,40.0,2 99,Must have been a conductor at the stage & Other,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"LC1 letter, National ID",10.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 6 9,Chairperson & Vice Chairperson & Secretary & Treasurer & Defence & Elder Advisor,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,Yes,Yes,3.0,1 5 99,Be a driver & Must have a family & Other,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,Membership card,1 6,Be a driver & Need to have been at the stage for ____ years,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5,,media/1723286662631.jpg,media/1723286669434.jpg,2407230723.0,uuid:46bc3375-ffc6-4423-ba24-c87c2a73c51b,2024-08-10 09:40:47,2024-08-10 06:28:05,2024-08-10 09:38:15,2024-08-09,Respondent_762907,22,Nateete-Wakaliga,24,Nateete-Wakaliga 'B',Kisenyi/Gwanda,both
0F717E25-0542-496A-9B46-40D56DB59F40,,Apple|iPhone|17.6.1|SurveyCTO Collect 2.80 (274730),1867,,1.0,70.0,Nansana-Wakiso-Kakiri,Bwaise,Bwaise,,8 10,Rhoda & Vivian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Nansana-Wakiso-Kakiri Stage,Secretary,Secretary,,2023.0,2023.0,"Originated from an older stage, split off","Originated from an older stage, split off",,Nansana-Wakiso-Kakiri-Busunju,Yes,Yes,3 8,Kisenyi/Gwanda & Old Taxi Park,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,media/1726479331595.jpg,1.0,0.0,1,media/1726479348224.jpg,1,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed/B-B3,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed/B-p3_photo_loop,,,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed/C-C1,3,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed/C-p5_photo_loop,3,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed/C-R,No,No,,,,,,,,,,,1,,,45,,,,35.0,30.0,,,,30.0,99,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Membership fee (100k), 10k for stage ID",5.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6 9,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Elder Advisor,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/1726480203046.jpg,media/1726480212603.jpg,2407230723.0,uuid:0b2559b1-5f22-4d1d-b9a3-b402362e61ed,2024-09-16 07:47:23,2024-09-16 05:33:09,2024-09-16 06:14:43,2024-09-14,Respondent_230408,70,Nansana- Wakiso- Kakiri,92,Nansana- Wakiso- Kakiri,Bwaise,both
2aa80707e1ac7359,,TCL|T610K|13|SurveyCTO Collect 2.81.2 (3771098),5660,,1.0,33.0,Makerere-Kikoni,Old Taxi Park,Old Taxi Park,,1 8,Claire & Rhoda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Makerere-Kikoni Stage,Elder,Elder,,1990.0,1980.0,Founded by drivers who did not belong to an older stage,Founded by drivers who did not belong to an older stage,,,,,,,,,,,,,,,,,,,,media/1724053706548.jpg,1.0,1.0,2,media/1724053728964.jpg,2,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/B-B3,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/B-p3_photo_loop,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/B-B4,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/B-p4_photo_loop,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/C-C1,3,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/C-p5_photo_loop,3,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/C-R,No,No,,,,,,,,,,,2,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/C-C9_branch_loop,uuid:94931b91-bb60-4049-8c1f-8a276895a37d/C-p7_photo_loop,40,0,0.0,0.0,40.0,21.0,0.0,0.0,0.0,21.0,2,Must have been a conductor at the stage,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,"First come, first serve on the day","First come, first serve on the day",,1 2 3 4 5 6 9 99,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Elder Advisor & Other,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Guide,Yes,Yes,3.0,1 99,Be a driver & Other,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Must be a stage member,1 2 6,Be a driver & Have a permit/driving license & Need to have been at the stage for ____ years,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,5,,media/1724057245520.jpg,media/1724057257445.jpg,2407230723.0,uuid:94931b91-bb60-4049-8c1f-8a276895a37d,2024-08-19 05:28:59,2024-08-17 05:41:37,2024-08-19 04:47:57,2024-08-16,Respondent_781113,33,Makerere / Makerere-Kikoni,36,Makerere-Kikoni,Old Taxi Park,both
e912dcc7bdab73f5,,Itel|itel A665L|13|SurveyCTO Collect 2.81.2 (3771098),1077,,1.0,98.0,Ndejje,Bwaise,Bwaise,,4 5 9,Gerald & Joviah & Sumaiya,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Ndejje  Stage,Branch Leader (but not one of the above),Branch Leader (but not one of the above),,2023.0,2023.0,"Originated from an older stage, formed as a separate, independent stage by their","Originated from an older stage, formed as a separate, independent stage by their leaders",,Bombo,Yes,Yes,1,Bwaise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,media/1728466982429.jpg,1.0,0.0,1,media/1728467002862.jpg,1,uuid:9348691c-f7a8-4a1d-8a59-83975b987064/B-B3,uuid:9348691c-f7a8-4a1d-8a59-83975b987064/B-p3_photo_loop,,,uuid:9348691c-f7a8-4a1d-8a59-83975b987064/C-C1,1,uuid:9348691c-f7a8-4a1d-8a59-83975b987064/C-p5_photo_loop,1,uuid:9348691c-f7a8-4a1d-8a59-83975b987064/C-R,No,No,,,,,,,,,,,1,,,20,,,,8.0,20.0,,,,8.0,1 99,Must have a driver permit & Other,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Good conduct, LC letter",5.0,Predetermined schedule before the day,Predetermined schedule before the day,,1 2 3 4 5 6 7 8 9,Chairperson & Vice Chairperson & Secretary & Treasurer & Welfare & Defence & Mobiliser & Stage Master & Elder Advisor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,Yes,Yes,5.0,99,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Be a member of the stage,1 2 4 5,Be a driver & Have a permit/driving license & No criminal record & Must have a family,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,media/1728467794632.jpg,media/1728467813654.jpg,2407230723.0,uuid:9348691c-f7a8-4a1d-8a59-83975b987064,2024-10-09 07:07:50,2024-10-09 05:37:53,2024-10-09 05:57:40,2024-10-09,Respondent_865591,98,Ndejje,137,Ndejje,Bwaise,both
